,Date,Forecast
316,2021-06-25,36215.383
317,2021-06-26,35160.22
318,2021-06-27,34581.75
319,2021-06-28,33927.37
320,2021-06-29,33196.453
321,2021-06-30,33635.965
322,2021-07-01,33951.34
323,2021-07-02,34010.953
324,2021-07-03,33843.605
325,2021-07-04,34582.754
326,2021-07-05,35235.7
327,2021-07-06,35227.5
